A8MUM7	Q9NY25	Q9UPC5	Q9H3S1	Q9NRD8	O60613	P15151	P02746	Q16363	Q9HBB8	A0A0G2JS06	Q99944	P17936	P08174	Q96A25	P34741	P05156	P04216	P21741	P08195	O43493	P08637	P02655	A4QPB2	A0A0C4DH55	P02652	P22079	P10619	Q5VY80	O75015	Q9Y5Q5	P16112	Q8NHL6	Q15165	P07478	Q13361	Q15195	O60462	Q6Q8B3	Q6H3X3	Q14031	Q02325	A6NKQ9	Q9NWF4	Q8IYS5	Q99102	Q2VPA4	P30511	Q07001	P15692	P40198	P48664	P28067	label
26.74727	25.82571	27.71347	25.88978	25.65745	28.78896	28.62193	31.31235	35.03252	23.80037	24.96725	24.08916	29.43706	31.80371	25.51913	29.10556	33.69006	34.11293	25.45016	32.14782	26.39141	30.77971	28.54732	27.02962	29.06516	29.6894	32.29326	31.14488	23.11713	24.71376	24.97097	29.57124	28.3442	30.46199	32.57235	33.31869	35.58329	29.48858	26.45652	23.86266	28.56943	35.58329	24.96194	25.22411	25.81719	26.26256	25.58274	28.24996	29.31465	27.94717	27.82593	25.61235	30.3975	PDAC
27.33683	27.35942	28.00324	25.59361	23.63168	29.79935	29.32031	30.47596	35.32306	22.7954	24.50337	24.12145	28.64095	31.39647	24.44158	28.88	32.83508	34.48794	21.75542	31.92712	26.53054	30.47423	28.79683	26.28878	29.1804	29.28377	32.65146	30.23021	24.25427	25.98003	25.53416	28.72898	28.32297	30.58368	33.5844	32.91977	34.8803	28.69777	26.72694	24.3491	31.174	34.8803	22.50853	25.93673	25.66569	27.45513	26.95798	28.12749	29.9832	26.54938	26.65776	23.8005	30.10805	PDAC
30.87929	23.90637	26.20717	26.31084	25.70125	28.91682	29.61413	31.22325	35.45041	29.46225	22.84612	24.42283	29.35688	32.51735	24.34178	28.05967	32.73473	33.61829	27.13048	32.96173	24.08791	29.99396	25.15013	23.75025	28.24915	27.55125	33.64934	30.83928	27.50562	26.91397	27.11722	27.68575	28.34178	31.72227	30.13022	31.98972	34.71865	31.02014	26.63728	27.50562	29.02782	34.71865	29.50493	26.96679	25.83048	32.10096	27.74533	29.20167	30.53568	26.57972	34.8692	24.99858	29.42307	PDAC
27.77653	25.23717	26.64569	25.55694	26.38784	27.25805	28.9966	31.79788	35.20199	24.51578	23.36909	25.50633	27.26815	31.17855	25.56863	28.49678	33.88683	34.34798	24.1631	31.86092	27.96453	30.56391	29.20495	24.28162	30.50526	29.19889	34.84293	29.69331	24.46945	28.84067	24.47983	28.91779	27.07131	29.52477	29.89146	33.77839	35.57682	28.50331	26.92197	24.18075	28.437	35.57682	24.03829	25.28242	23.05597	23.893	29.46259	28.15677	29.38668	25.87397	26.22075	22.25917	29.8666	PDAC
31.4709	22.8344	25.25438	26.02343	23.86655	28.19513	28.66339	32.63188	34.08915	21.65779	23.75805	22.50294	29.03196	30.50474	26.12161	23.38508	33.29226	34.27937	21.04787	31.33418	26.58596	31.40721	27.89374	20.90395	30.01509	29.76619	33.49128	29.78436	22.82648	29.16322	23.52141	25.18082	28.02354	28.55494	27.39059	32.9539	36.34974	29.57596	25.95313	23.16971	28.19963	36.34974	25.85877	26.53849	22.24517	24.27098	28.14211	27.4994	28.77093	25.57484	27.32376	24.15838	28.32204	PDAC
27.18757	26.89674	28.5316	26.80447	26.44286	28.6151	28.98284	31.31961	35.14257	25.58421	24.0297	25.6589	31.08263	32.91488	22.40946	26.77139	33.29674	34.18213	27.45117	32.02065	22.39506	30.42905	26.55004	28.18547	29.40406	28.85411	31.80941	30.66408	21.84866	24.60115	23.89234	28.9572	26.66638	30.12707	31.96571	34.0583	34.74646	30.06678	26.10096	24.62464	28.9631	34.74646	27.10123	25.2328	26.76586	24.15496	27.52631	29.07954	30.51615	26.46816	33.03669	25.60757	30.35386	PDAC
24.46844	27.92155	28.47493	25.73908	30.78224	29.20301	29.74896	30.7329	35.41838	26.24081	24.15577	25.31811	28.91891	32.03049	22.07927	29.17233	33.33984	34.44185	26.6316	32.35221	24.56626	30.5545	25.28467	26.39458	28.45894	28.24939	37.21292	30.53987	23.19423	28.84808	22.24659	28.84092	28.27876	30.16271	33.83834	33.89985	34.74016	29.25357	26.63776	22.60973	30.72678	34.74016	26.65666	25.6002	27.90901	23.47038	27.69262	28.01211	30.03031	26.30258	28.06761	22.24452	30.21682	PDAC
25.52113	26.28649	25.41953	23.96968	26.09588	28.8701	29.1934	30.92754	35.14204	23.30292	24.24715	23.345	27.46164	30.20485	25.13669	27.09811	32.40549	33.45098	23.16425	31.8004	28.2184	30.38706	24.12926	24.72994	27.6219	25.62821	34.10447	30.78504	23.13626	27.77438	22.42511	25.23418	27.13902	30.4597	34.79379	31.53191	34.1135	27.63526	25.68258	23.70232	28.04886	34.1135	22.38158	26.34876	24.56656	24.69307	23.51791	28.42157	30.27579	26.90013	26.11522	24.06026	29.51089	PDAC
26.29972	28.57059	23.80694	22.52346	29.93089	28.72679	28.92426	31.05948	34.08786	23.9589	22.52705	23.45741	31.92331	33.57729	24.7736	28.32413	33.56849	34.19853	27.67447	32.27784	23.02439	31.02001	26.75512	26.25463	29.38229	29.97945	33.98297	30.16517	26.61525	24.50171	23.83481	25.29478	25.59414	30.11217	29.96661	33.06322	35.00635	30.16187	23.87368	26.61525	31.90748	35.00635	24.85294	25.71502	28.30716	26.02168	26.64847	26.36685	29.61091	29.17376	34.79829	23.07862	28.15883	PDAC
26.01696	28.50765	27.16064	24.69859	23.81232	28.24351	29.14249	31.71053	35.40497	23.14648	23.29722	24.46915	30.00264	32.76376	23.07963	26.90877	33.31832	34.05265	22.49681	32.67346	21.2179	30.92336	27.10776	26.99485	29.93539	29.11198	34.1663	29.87863	26.13379	24.88382	24.49738	27.88745	27.98597	30.02119	31.81499	33.06036	35.12734	30.10962	25.79646	26.13379	30.94386	35.12734	23.43679	25.51717	27.06548	28.53192	26.79122	27.55465	28.59777	29.36383	28.45456	22.70443	29.14947	PDAC
26.82922	28.54354	25.04893	25.74196	29.98816	28.65773	29.51256	29.91951	36.34167	25.98442	24.32872	24.36775	33.25163	33.37186	24.07373	29.24714	33.55856	34.3986	26.91534	32.23669	25.0302	31.61018	25.96991	27.55593	30.7816	28.86383	32.31616	29.57814	23.78126	27.14071	26.40952	27.92967	28.42452	30.34183	32.13099	33.43623	34.38477	29.89298	26.68469	25.50864	32.0428	34.38477	23.84749	24.3657	28.35665	23.51531	27.60298	27.33986	29.11619	29.33983	33.7754	23.52564	29.75743	Breast
25.83764	27.16082	23.82806	25.79747	26.64063	28.96136	29.77929	31.84929	35.19111	27.3508	23.6171	24.32372	32.22417	32.57949	24.24415	29.85797	33.29997	34.10306	24.72242	32.55205	25.83877	30.60894	26.62754	23.30506	29.28103	28.62296	33.98764	30.10853	22.72662	27.64258	24.07322	31.57829	28.23645	31.2938	29.20374	33.4994	34.59537	29.99753	24.81901	24.30427	28.00455	34.59537	30.95882	27.1652	26.69485	22.89294	27.11392	28.26366	29.012	28.68023	31.05068	24.17659	29.69384	Breast
